warehouse_id,product_id,current_stock,reorder_point,avg_daily_demand,last_restock_date,scenario_tag
WH-002,PRD-002,4830,474,156,2026-03-19,low_stock
WH-010,PRD-031,4444,278,167,2026-01-02,low_stock
WH-007,PRD-042,7052,287,155,2025-06-27,critical
WH-010,PRD-028,7201,66,27,2025-06-19,low_stock
WH-003,PRD-028,5127,302,13,2026-01-08,critical
WH-008,PRD-049,4355,195,99,2025-05-18,low_stock
WH-005,PRD-012,990,276,95,2026-02-14,critical
WH-009,PRD-029,9611,195,20,2025-08-15,normal
WH-008,PRD-036,3524,74,73,2025-07-08,overstocked
WH-001,PRD-034,3903,275,171,2025-11-28,normal
WH-009,PRD-040,5485,428,107,2026-04-01,overstocked
WH-001,PRD-017,1841,258,103,2025-05-31,low_stock
WH-007,PRD-045,7028,345,109,2026-04-05,normal
WH-006,PRD-034,3240,440,18,2026-04-26,overstocked
WH-006,PRD-046,4933,55,88,2026-03-16,low_stock
WH-005,PRD-001,9205,433,52,2026-03-20,overstocked
WH-006,PRD-045,1108,364,187,2026-02-01,low_stock
WH-010,PRD-001,8642,63,33,2026-02-14,low_stock
WH-008,PRD-006,7293,362,68,2026-04-17,critical
WH-009,PRD-036,8817,492,153,2026-02-24,low_stock
WH-002,PRD-031,1218,89,70,2026-03-22,critical
WH-008,PRD-025,4634,170,55,2025-11-18,critical
WH-008,PRD-004,7349,429,32,2026-05-04,critical
WH-008,PRD-011,9118,469,145,2026-04-27,normal
WH-010,PRD-006,9981,376,133,2025-12-23,critical
WH-007,PRD-037,9360,350,192,2025-12-01,normal
WH-002,PRD-001,3673,251,30,2025-08-27,normal
WH-009,PRD-034,5164,286,144,2026-04-21,overstocked
WH-005,PRD-018,4023,375,104,2025-11-07,critical
WH-005,PRD-013,9696,222,74,2026-05-07,low_stock
WH-005,PRD-001,5620,171,115,2025-12-17,overstocked
WH-001,PRD-003,8506,410,173,2025-08-26,overstocked
WH-009,PRD-010,2857,345,118,2025-10-09,normal
WH-001,PRD-025,4122,198,44,2026-03-19,normal
WH-006,PRD-025,8822,183,42,2025-06-08,low_stock
WH-007,PRD-022,457,105,182,2025-12-22,normal
WH-004,PRD-010,2402,223,84,2025-09-04,overstocked
WH-003,PRD-019,5035,258,82,2026-01-22,low_stock
WH-006,PRD-041,4322,417,16,2025-08-13,overstocked
WH-001,PRD-028,6416,318,38,2026-02-13,overstocked
WH-001,PRD-003,3493,401,35,2026-02-11,normal
WH-002,PRD-040,9223,471,139,2026-03-03,critical
WH-004,PRD-037,9728,206,139,2026-02-17,low_stock
WH-001,PRD-024,4472,187,94,2025-09-24,low_stock
WH-010,PRD-020,815,381,115,2025-06-18,overstocked
WH-004,PRD-035,1333,68,18,2025-09-19,critical
WH-007,PRD-037,7346,292,72,2026-05-04,low_stock
WH-004,PRD-001,5051,286,85,2025-05-25,critical
WH-001,PRD-004,3400,96,93,2025-09-14,overstocked
WH-006,PRD-021,4578,304,13,2025-09-23,critical
WH-007,PRD-002,9742,179,94,2025-09-28,low_stock
WH-003,PRD-004,7294,97,153,2026-02-14,low_stock
WH-005,PRD-026,4958,316,162,2025-08-19,critical
WH-008,PRD-013,1889,489,118,2025-05-11,critical
WH-004,PRD-005,7115,350,169,2025-12-14,critical
WH-010,PRD-049,5304,319,138,2025-08-23,overstocked
WH-010,PRD-037,559,442,79,2025-07-01,low_stock
WH-006,PRD-043,7128,128,58,2025-06-04,overstocked
WH-009,PRD-033,6401,381,128,2025-11-16,overstocked
WH-001,PRD-026,3000,422,15,2025-09-02,critical
WH-003,PRD-043,4040,273,56,2026-04-01,critical
WH-001,PRD-036,8277,290,98,2026-01-09,overstocked
WH-007,PRD-022,738,85,114,2026-03-11,overstocked
WH-001,PRD-037,3161,392,115,2026-02-16,critical
WH-003,PRD-034,1188,224,138,2025-12-23,normal
WH-001,PRD-027,1715,70,84,2025-06-28,normal
WH-009,PRD-016,6214,187,198,2026-02-11,low_stock
WH-009,PRD-026,6848,325,145,2026-02-05,overstocked
WH-003,PRD-042,5948,272,16,2025-08-17,overstocked
WH-009,PRD-013,5359,164,25,2025-08-13,critical
WH-006,PRD-046,3365,313,77,2025-12-16,normal
WH-007,PRD-036,3269,451,88,2026-04-14,critical
WH-010,PRD-002,9140,106,143,2025-06-09,normal
WH-005,PRD-004,5024,114,196,2025-11-09,low_stock
WH-003,PRD-028,9945,353,15,2026-03-31,overstocked
WH-007,PRD-045,4720,343,142,2025-05-25,overstocked
WH-004,PRD-027,7843,185,47,2025-08-21,overstocked
WH-009,PRD-031,5710,482,198,2025-11-16,overstocked
WH-010,PRD-025,749,305,27,2025-06-15,normal
WH-005,PRD-029,1225,298,45,2025-12-21,normal
WH-009,PRD-015,4233,261,165,2025-09-15,overstocked
WH-002,PRD-005,4985,73,81,2026-01-07,critical
WH-008,PRD-041,1520,122,164,2025-10-29,low_stock
WH-009,PRD-006,9768,316,13,2025-09-08,normal
WH-002,PRD-016,9354,154,52,2026-03-26,critical
WH-008,PRD-035,1480,323,73,2026-04-07,overstocked
WH-005,PRD-029,963,220,168,2025-07-19,critical
WH-003,PRD-017,492,457,141,2025-11-05,overstocked
WH-004,PRD-045,5094,97,11,2025-10-16,normal
WH-009,PRD-020,1462,74,187,2025-05-11,critical
WH-003,PRD-038,6774,302,19,2026-04-29,normal
WH-009,PRD-037,6615,336,42,2025-10-05,critical
WH-008,PRD-034,4280,185,153,2025-08-02,normal
WH-003,PRD-002,5519,339,184,2025-12-28,overstocked
WH-001,PRD-021,5919,364,101,2025-10-22,critical
WH-002,PRD-026,8074,257,165,2025-10-28,low_stock
WH-001,PRD-048,4400,297,123,2025-06-25,normal
WH-003,PRD-010,5554,190,144,2025-11-30,overstocked
WH-006,PRD-012,8325,153,121,2026-05-04,low_stock
WH-009,PRD-020,8272,363,152,2025-07-25,overstocked
WH-004,PRD-003,1837,101,91,2026-04-28,low_stock
WH-005,PRD-036,9895,461,192,2026-03-25,normal
WH-004,PRD-031,2244,257,38,2025-05-22,overstocked
WH-006,PRD-048,4432,144,102,2025-10-07,normal
WH-010,PRD-026,4341,320,113,2026-02-22,overstocked
WH-009,PRD-048,1097,382,99,2025-10-23,normal
WH-004,PRD-012,7265,57,18,2026-01-25,low_stock
WH-008,PRD-008,9220,88,128,2025-12-14,low_stock
WH-006,PRD-031,3311,207,105,2025-12-05,critical
WH-007,PRD-039,8075,428,54,2026-03-06,critical
WH-009,PRD-048,7637,324,195,2026-03-09,normal
WH-006,PRD-025,8641,296,138,2025-10-31,low_stock
WH-010,PRD-013,2881,240,128,2025-09-23,critical
WH-001,PRD-020,6300,377,192,2026-02-16,low_stock
WH-008,PRD-040,103,448,155,2025-10-07,critical
WH-007,PRD-042,7835,167,178,2026-02-21,critical
WH-006,PRD-011,9853,433,48,2026-01-17,low_stock
WH-006,PRD-033,8802,437,124,2026-01-27,overstocked
WH-006,PRD-020,6941,373,103,2026-03-15,critical
WH-010,PRD-023,7715,242,170,2026-04-18,low_stock
WH-009,PRD-049,8509,256,161,2025-11-28,normal
WH-007,PRD-002,2791,484,109,2025-09-28,low_stock
WH-007,PRD-012,1541,207,140,2026-04-23,normal
WH-010,PRD-034,3579,487,136,2025-06-17,low_stock
WH-006,PRD-017,1212,105,152,2025-07-22,normal
WH-005,PRD-030,9807,73,135,2025-12-19,overstocked
